interval_start,annotation
0,no_tremor
0.5,no_tremor
1,no_tremor
1.5,no_tremor
2,no_tremor
2.5,no_tremor
3,tremor
3.5,tremor
4,tremor
4.5,tremor
5,tremor
5.5,tremor
6,tremor
6.5,tremor
7,tremor
7.5,tremor
8,tremor
8.5,tremor
9,tremor
9.5,tremor
10,tremor
10.5,tremor
11,tremor
11.5,tremor
12,tremor
12.5,tremor
13,tremor
13.5,tremor
14,tremor
14.5,tremor
15,tremor
15.5,tremor
16,tremor
16.5,tremor
17,tremor
17.5,tremor
18,tremor
18.5,tremor
19,tremor
19.5,tremor
20,tremor
20.5,tremor
21,tremor
21.5,tremor
22,tremor
22.5,no_tremor
23,no_tremor
23.5,no_tremor
24,no_tremor
24.5,no_tremor
25,no_tremor
25.5,no_tremor
26,no_tremor
26.5,no_tremor
27,no_tremor
27.5,no_tremor
28,no_tremor
28.5,no_tremor
29,no_tremor
29.5,no_tremor
30,no_tremor
30.5,no_tremor
31,no_tremor
31.5,no_tremor
32,no_tremor
32.5,no_tremor
33,no_tremor
33.5,no_tremor
34,no_tremor
34.5,no_tremor
35,no_tremor
35.5,no_tremor
36,no_tremor
36.5,no_tremor
37,no_tremor
37.5,tremor
38,tremor
38.5,tremor
39,tremor
39.5,tremor
40,tremor
40.5,tremor
41,no_tremor
41.5,tremor
42,tremor
42.5,tremor
43,tremor
43.5,tremor
44,tremor
44.5,tremor
45,tremor
45.5,tremor
46,tremor
46.5,tremor
47,tremor
47.5,tremor
48,tremor
48.5,tremor
49,tremor
49.5,tremor
50,tremor
50.5,no_tremor
51,no_tremor
51.5,no_tremor
52,no_tremor
52.5,no_tremor
53,no_tremor
53.5,no_tremor
54,no_tremor
54.5,no_tremor
55,no_tremor
55.5,no_tremor
56,no_tremor
56.5,no_tremor
57,no_tremor
57.5,no_tremor
58,no_tremor
58.5,no_tremor
59,no_tremor
59.5,no_tremor
60,no_tremor
60.5,no_tremor
61,no_tremor
61.5,no_tremor
62,no_tremor
62.5,no_tremor
63,no_tremor
63.5,no_tremor
64,no_tremor
64.5,no_tremor
65,no_tremor
65.5,tremor
66,tremor
66.5,tremor
67,tremor
67.5,tremor
68,tremor
68.5,tremor
69,tremor
69.5,tremor
70,tremor
70.5,tremor
71,tremor
71.5,tremor
72,tremor
72.5,no_tremor
73,no_tremor
73.5,no_tremor
74,no_tremor
74.5,tremor
75,tremor
75.5,tremor
76,tremor
76.5,tremor
77,tremor
77.5,tremor
78,tremor
78.5,no_tremor
79,no_tremor
79.5,no_tremor
80,no_tremor
80.5,no_tremor
81,no_tremor
81.5,no_tremor
82,no_tremor
82.5,no_tremor
83,no_tremor
83.5,no_tremor
84,no_tremor
84.5,no_tremor
85,no_tremor
85.5,no_tremor
86,no_tremor
86.5,no_tremor
87,no_tremor
87.5,no_tremor
88,no_tremor
88.5,no_tremor
89,no_tremor
89.5,no_tremor
90,no_tremor
90.5,no_tremor
91,no_tremor
91.5,no_tremor
92,no_tremor
92.5,no_tremor
93,no_tremor
93.5,no_tremor
94,no_tremor
94.5,no_tremor
95,no_tremor
95.5,no_tremor
96,no_tremor
96.5,no_tremor
97,no_tremor
97.5,no_tremor
98,no_tremor
98.5,no_tremor
99,no_tremor
99.5,no_tremor
100,no_tremor
100.5,no_tremor
101,no_tremor
101.5,no_tremor
102,no_tremor
102.5,no_tremor
103,no_tremor
103.5,no_tremor
104,no_tremor
104.5,no_tremor
105,no_tremor
105.5,no_tremor
106,no_tremor
106.5,no_tremor
107,no_tremor
107.5,no_tremor
108,no_tremor
108.5,no_tremor
109,no_tremor
109.5,no_tremor
110,no_tremor
110.5,no_tremor
111,no_tremor
111.5,no_tremor
112,no_tremor
112.5,no_tremor
113,no_tremor
113.5,no_tremor
114,no_tremor
114.5,no_tremor
115,no_tremor
115.5,no_tremor
116,no_tremor
116.5,no_tremor
117,no_tremor
117.5,no_tremor
118,no_tremor
118.5,no_tremor
119,no_tremor
119.5,no_tremor
120,no_tremor
120.5,no_tremor
121,no_tremor
121.5,no_tremor
122,no_tremor
122.5,no_tremor
123,no_tremor
123.5,no_tremor
124,no_tremor
124.5,no_tremor
125,no_tremor
125.5,no_tremor
126,no_tremor
126.5,no_tremor
127,no_tremor
127.5,no_tremor
128,no_tremor
128.5,no_tremor
129,no_tremor
129.5,no_tremor
130,no_tremor
130.5,no_tremor
131,no_tremor
131.5,no_tremor
132,no_tremor
132.5,no_tremor
133,no_tremor
133.5,no_tremor
134,no_tremor
134.5,no_tremor
135,no_tremor
135.5,no_tremor
136,no_tremor
136.5,no_tremor
137,no_tremor
137.5,no_tremor
138,no_tremor
138.5,no_tremor
139,no_tremor
139.5,no_tremor
140,no_tremor
140.5,no_tremor
141,no_tremor
141.5,no_tremor
142,no_tremor
142.5,no_tremor
143,no_tremor
143.5,no_tremor
144,no_tremor
144.5,no_tremor
145,no_tremor
145.5,no_tremor
146,no_tremor
146.5,no_tremor
147,no_tremor
147.5,no_tremor
148,no_tremor
148.5,no_tremor
149,no_tremor
149.5,no_tremor
150,no_tremor
150.5,no_tremor
151,no_tremor
151.5,no_tremor
152,no_tremor
152.5,no_tremor
153,no_tremor
153.5,no_tremor
154,no_tremor
154.5,no_tremor
155,tremor
155.5,tremor
156,no_tremor
156.5,no_tremor
157,no_tremor
157.5,no_tremor
158,no_tremor
158.5,no_tremor
159,no_tremor
159.5,no_tremor
160,no_tremor
160.5,no_tremor
161,no_tremor
161.5,no_tremor
162,no_tremor
162.5,no_tremor
163,no_tremor
163.5,no_tremor
164,no_tremor
164.5,no_tremor
165,no_tremor
165.5,no_tremor
166,no_tremor
166.5,no_tremor
167,no_tremor
