interval_start,annotation
0,no_tremor
0.5,tremor
1,no_tremor
1.5,no_tremor
2,no_tremor
2.5,no_tremor
3,no_tremor
3.5,tremor
4,tremor
4.5,tremor
5,tremor
5.5,no_tremor
6,no_tremor
6.5,no_tremor
7,no_tremor
7.5,tremor
8,no_tremor
8.5,tremor
9,no_tremor
9.5,no_tremor
10,no_tremor
10.5,no_tremor
11,no_tremor
11.5,no_tremor
12,no_tremor
12.5,no_tremor
13,no_tremor
13.5,no_tremor
14,no_tremor
14.5,no_tremor
15,no_tremor
15.5,no_tremor
16,no_tremor
16.5,no_tremor
17,no_tremor
17.5,no_tremor
18,no_tremor
18.5,no_tremor
19,no_tremor
19.5,no_tremor
20,no_tremor
20.5,no_tremor
21,no_tremor
21.5,no_tremor
22,no_tremor
22.5,no_tremor
23,no_tremor
23.5,no_tremor
24,no_tremor
24.5,no_tremor
25,no_tremor
25.5,no_tremor
26,no_tremor
26.5,no_tremor
27,no_tremor
27.5,no_tremor
28,no_tremor
28.5,no_tremor
29,no_tremor
29.5,no_tremor
30,no_tremor
30.5,no_tremor
31,no_tremor
31.5,no_tremor
32,no_tremor
32.5,no_tremor
33,no_tremor
33.5,no_tremor
34,no_tremor
34.5,no_tremor
35,no_tremor
35.5,no_tremor
36,no_tremor
36.5,no_tremor
37,no_tremor
37.5,no_tremor
38,no_tremor
38.5,no_tremor
39,no_tremor
39.5,no_tremor
40,no_tremor
40.5,no_tremor
41,no_tremor
41.5,no_tremor
42,no_tremor
42.5,no_tremor
43,no_tremor
43.5,no_tremor
44,no_tremor
44.5,no_tremor
45,no_tremor
45.5,no_tremor
46,no_tremor
46.5,no_tremor
47,no_tremor
47.5,no_tremor
48,no_tremor
48.5,no_tremor
49,no_tremor
49.5,no_tremor
50,no_tremor
50.5,no_tremor
51,no_tremor
51.5,no_tremor
52,no_tremor
52.5,no_tremor
53,no_tremor
53.5,no_tremor
54,no_tremor
54.5,no_tremor
55,no_tremor
55.5,no_tremor
56,no_tremor
56.5,no_tremor
57,no_tremor
57.5,no_tremor
58,no_tremor
58.5,no_tremor
59,no_tremor
59.5,no_tremor
60,no_tremor
60.5,no_tremor
61,no_tremor
61.5,no_tremor
62,no_tremor
62.5,no_tremor
63,no_tremor
63.5,no_tremor
64,no_tremor
64.5,no_tremor
65,no_tremor
65.5,no_tremor
66,no_tremor
66.5,tremor
67,tremor
67.5,tremor
68,no_tremor
68.5,no_tremor
69,no_tremor
69.5,no_tremor
70,no_tremor
70.5,no_tremor
71,no_tremor
71.5,no_tremor
72,no_tremor
72.5,tremor
73,tremor
73.5,no_tremor
74,no_tremor
74.5,no_tremor
75,no_tremor
75.5,no_tremor
76,no_tremor
76.5,no_tremor
77,no_tremor
77.5,no_tremor
78,no_tremor
78.5,no_tremor
79,no_tremor
79.5,no_tremor
80,tremor
80.5,no_tremor
81,tremor
81.5,no_tremor
82,no_tremor
82.5,no_tremor
83,no_tremor
83.5,no_tremor
84,no_tremor
84.5,no_tremor
85,tremor
85.5,tremor
86,tremor
86.5,no_tremor
87,tremor
87.5,tremor
88,tremor
88.5,no_tremor
89,no_tremor
89.5,tremor
90,no_tremor
90.5,no_tremor
91,no_tremor
91.5,no_tremor
92,no_tremor
92.5,no_tremor
93,no_tremor
93.5,no_tremor
94,no_tremor
94.5,no_tremor
95,no_tremor
95.5,tremor
96,tremor
96.5,no_tremor
97,no_tremor
97.5,tremor
98,no_tremor
98.5,no_tremor
99,no_tremor
99.5,tremor
100,no_tremor
100.5,tremor
101,no_tremor
101.5,no_tremor
102,no_tremor
102.5,no_tremor
103,no_tremor
103.5,no_tremor
104,no_tremor
104.5,no_tremor
105,no_tremor
105.5,no_tremor
106,no_tremor
106.5,no_tremor
107,no_tremor
107.5,no_tremor
108,no_tremor
108.5,no_tremor
109,no_tremor
109.5,no_tremor
110,no_tremor
110.5,no_tremor
111,no_tremor
111.5,no_tremor
112,no_tremor
112.5,no_tremor
113,no_tremor
113.5,no_tremor
114,no_tremor
114.5,no_tremor
115,no_tremor
115.5,no_tremor
116,no_tremor
116.5,no_tremor
117,no_tremor
117.5,no_tremor
118,no_tremor
118.5,no_tremor
119,no_tremor
119.5,no_tremor
120,no_tremor.flat
120.5,no_tremor.flat
121,no_tremor
121.5,no_tremor.flat
122,no_tremor
122.5,no_tremor
123,no_tremor
123.5,no_tremor
124,no_tremor
124.5,no_tremor
125,no_tremor
125.5,no_tremor
126,no_tremor
126.5,no_tremor
127,no_tremor
127.5,no_tremor
128,no_tremor
128.5,no_tremor
129,no_tremor
129.5,no_tremor
130,no_tremor
130.5,no_tremor
131,no_tremor
131.5,no_tremor
132,no_tremor
132.5,no_tremor
133,no_tremor
133.5,no_tremor
134,no_tremor
134.5,no_tremor
135,no_tremor
135.5,no_tremor
136,no_tremor
136.5,no_tremor
137,no_tremor
137.5,no_tremor
138,no_tremor
138.5,no_tremor
139,no_tremor
139.5,no_tremor
140,no_tremor
140.5,no_tremor
141,no_tremor
141.5,no_tremor
142,no_tremor
142.5,no_tremor
143,no_tremor
143.5,no_tremor
144,no_tremor
144.5,no_tremor
145,no_tremor
145.5,no_tremor
146,no_tremor
146.5,no_tremor
147,no_tremor
147.5,no_tremor
148,no_tremor
148.5,no_tremor
149,no_tremor
149.5,no_tremor
150,no_tremor
150.5,no_tremor
151,no_tremor
151.5,no_tremor
152,no_tremor
152.5,no_tremor
153,no_tremor
153.5,no_tremor
154,no_tremor
154.5,no_tremor
155,no_tremor
155.5,no_tremor
156,no_tremor
156.5,no_tremor
157,no_tremor
157.5,no_tremor
158,no_tremor
158.5,no_tremor
159,no_tremor
159.5,no_tremor
160,no_tremor
160.5,no_tremor
161,no_tremor
161.5,no_tremor
162,no_tremor
162.5,no_tremor
163,no_tremor
163.5,no_tremor
164,no_tremor
164.5,no_tremor
165,no_tremor
165.5,no_tremor
166,no_tremor
166.5,no_tremor
167,no_tremor
167.5,no_tremor
168,no_tremor
168.5,no_tremor
169,no_tremor
169.5,no_tremor
170,no_tremor
170.5,no_tremor
171,no_tremor
171.5,no_tremor
172,no_tremor
172.5,no_tremor
173,no_tremor
173.5,no_tremor
174,no_tremor
174.5,no_tremor
175,no_tremor
175.5,no_tremor
176,no_tremor
176.5,no_tremor
177,no_tremor
177.5,no_tremor
178,no_tremor
178.5,no_tremor.flat
179,no_tremor
179.5,no_tremor
180,no_tremor.flat
180.5,no_tremor.flat
181,no_tremor
181.5,no_tremor
182,no_tremor
182.5,no_tremor
183,no_tremor
183.5,no_tremor
184,no_tremor
184.5,no_tremor
185,no_tremor
185.5,no_tremor
186,no_tremor
186.5,no_tremor
187,no_tremor
187.5,no_tremor
188,no_tremor
188.5,no_tremor
189,no_tremor
189.5,no_tremor
190,no_tremor
190.5,no_tremor
191,no_tremor
191.5,no_tremor
192,no_tremor
192.5,no_tremor
193,no_tremor
193.5,no_tremor
194,no_tremor
194.5,no_tremor
195,no_tremor
195.5,no_tremor
196,no_tremor.flat
196.5,no_tremor
197,no_tremor
197.5,no_tremor
198,no_tremor
198.5,no_tremor
199,no_tremor
199.5,no_tremor
200,no_tremor
200.5,no_tremor
201,no_tremor
201.5,no_tremor
202,no_tremor
202.5,no_tremor
203,no_tremor.flat
203.5,no_tremor.flat
204,no_tremor.flat
204.5,no_tremor.flat
205,no_tremor
205.5,no_tremor.flat
206,no_tremor
206.5,no_tremor
207,no_tremor
207.5,no_tremor
208,no_tremor
208.5,no_tremor.flat
209,no_tremor
